"taskID","taskUID","mainStatus","fileName","satCode","procLevel","modisProduct","baseIndex","severityIndicator","burntAreaDataset","referenceYear","preFireRef","preFireType","postFireRef","minFireSize","geeTaskID","geeTaskCode","geeTaskStatus","postProcTaskID","postProcTaskStatus","metadataTaskID","metadataTaskStatus","closingTaskID","closingTaskStatus"
1,"5e5f7a6a-fea2-456b-8a76-c346347ed849","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","DELTA","EFFIS",2001,3,"moving",15,10,"c7af4a42-4c8a-4e0b-a808-cf4db4bcc22b",NA,"GEE NOT COMPLETED","4be6732f-a487-431e-95ca-da738037f758","POST NOT COMPLETED","2b0eacd9-8c43-493c-bb2a-dc64efa9726a","METADATA NOT COMPLETED","6ca1dcbf-436a-4389-b455-d6829385cc91","CLOSING NOT COMPLETED"
2,"d49f1d8c-a930-4cd3-86a6-2cc1c5084644","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RDELTA","EFFIS",2001,3,"moving",15,10,"d97a7657-4afe-4008-983e-9f94035c02ef",NA,"GEE NOT COMPLETED","30dbf867-1c49-4d75-8d5b-f2164bdc2824","POST NOT COMPLETED","68e6d349-6201-4a93-b7ad-591b587c8473","METADATA NOT COMPLETED","d3fe423c-59ad-4fd2-aa11-ba6167bc615d","CLOSING NOT COMPLETED"
3,"d27c289a-9339-42a5-a1d9-0e9b00f422e2","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RBR","EFFIS",2001,3,"moving",15,10,"b38b80dc-c213-49a4-851a-26775bd88431",NA,"GEE NOT COMPLETED","550033a9-59a7-419a-9bd5-3957dd99747f","POST NOT COMPLETED","9c9ac227-90cd-41be-9c58-b3376248d6dc","METADATA NOT COMPLETED","316dada5-7670-4e82-9461-a9296d100a17","CLOSING NOT COMPLETED"
4,"be01d4b0-591b-4b9d-a981-26e0d056c364","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","DELTA","EFFIS",2002,3,"moving",15,10,"afc919a4-c76d-40b7-a4a9-f9c4f1b559df",NA,"GEE NOT COMPLETED","d90bad70-3fdb-41b2-afd1-cabd68e4d9e0","POST NOT COMPLETED","4db26acf-9d05-4b85-8dd3-552354a092cc","METADATA NOT COMPLETED","ed1e4c01-cc59-427f-ae3e-5afa8017f65a","CLOSING NOT COMPLETED"
5,"7aaf63b4-9da1-424b-866a-12eacd240a88","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RDELTA","EFFIS",2002,3,"moving",15,10,"2ffba91a-e0d9-4b11-9dfb-847e5e2fa275",NA,"GEE NOT COMPLETED","8a2cce45-379f-4862-9889-64b643ca3186","POST NOT COMPLETED","1a9ff72e-162e-4d4f-b652-c9b493541b43","METADATA NOT COMPLETED","a49609cb-420e-40ba-b81a-5f1d4bf2a538","CLOSING NOT COMPLETED"
6,"877cec4f-f8d2-43c4-b833-166707670850","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RBR","EFFIS",2002,3,"moving",15,10,"b3a5d426-6098-490d-a488-9d0a5c1a10d8",NA,"GEE NOT COMPLETED","0d8efc5c-1bac-43fe-80d6-b1b011865d50","POST NOT COMPLETED","9d9d8de6-3185-43e6-98d9-ad9e26585005","METADATA NOT COMPLETED","d7cef977-4d37-4dbc-9cdf-e533928486f8","CLOSING NOT COMPLETED"
7,"1509ca70-27a0-4537-92a1-96cc7b851506","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","DELTA","EFFIS",2003,3,"moving",15,10,"790c9dfa-8e93-4c05-b49b-1fbd3e82dc23",NA,"GEE NOT COMPLETED","53b98c90-fbb5-4ec3-b3df-417aa126ea78","POST NOT COMPLETED","42963cfe-16b0-4e2e-97cf-e0c8910d38c0","METADATA NOT COMPLETED","7f771631-6bb9-4902-b5af-44aeed72b2b7","CLOSING NOT COMPLETED"
8,"46fdaa22-0fff-49cd-8c9e-1def4742ef07","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RDELTA","EFFIS",2003,3,"moving",15,10,"f69e093c-1325-4190-8850-f17bcff241b9",NA,"GEE NOT COMPLETED","6ca1020f-1ad6-4205-8762-83ca89dbcf6f","POST NOT COMPLETED","c8f3b23f-d480-41e0-9398-4914e2a47d7a","METADATA NOT COMPLETED","7bde6b97-7dd2-4e19-a1ec-2dcc44eb41c6","CLOSING NOT COMPLETED"
9,"3167469c-4b2c-41e3-9ba4-cf569007258d","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","RBR","EFFIS",2003,3,"moving",15,10,"dc128eb7-667f-4f46-a571-b1ecb5d426d7",NA,"GEE NOT COMPLETED","c12ce64b-1851-4e78-95ae-f776e29c4006","POST NOT COMPLETED","305a420f-b6d5-4fcf-ae7d-7edf6dc3c7de","METADATA NOT COMPLETED","6aaec124-8d9c-4632-94cb-cdc6d5c5f847","CLOSING NOT COMPLETED"
10,"744bf21a-c8ef-4425-a240-cb9009056a66","NOT COMPLETED","","MOD","L2","MOD13Q1","NBR","DELTA","EFFIS",2004,3,"moving",15,10,"09adfcd5-d81d-4b8f-82fd-ae88f0ad6b22",NA,"GEE NOT COMPLETED","29f3bde1-b61e-4168-b35b-9c86739982e8","POST NOT COMPLETED","2dd6b279-dd10-4e9d-ba59-e5a4516b3168","METADATA NOT COMPLETED","c9c14274-fae1-4163-928c-12cd997f51ae","CLOSING NOT COMPLETED"
