"taskID","taskUID","mainStatus","fileName","satCode","procLevel","modisProduct","baseIndex","severityIndicator","burntAreaDataset","referenceYear","preFireRef","preFireType","postFireRef","minFireSize","geeTaskID","geeTaskCode","geeTaskStatus","postProcTaskID","postProcTaskStatus","metadataTaskID","metadataTaskStatus","closingTaskID","closingTaskStatus"
1,"c36fd39c-5af1-4259-8dc1-17dac7da6f3f","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2020_R003P003","S2MSI",NA,NA,"NBR","DELTA","ICNF",2020,3,"moving",3,5,"b969652c-b228-49ce-9abe-ca2d41ec7671","ECT62QTTFFDAXRNOKDGDT4SY","GEE COMPLETED","a564ef37-3b8c-444a-b033-dcf70b73e4c9","POST COMPLETED","55e1cf62-31c1-47e0-90b1-065aedfb2900","METADATA COMPLETED","da6af51c-86cb-40c1-b5c7-29a4b9e7fdcb","CLOSING COMPLETED"
2,"18abb04b-4df4-4338-914d-3f6f0a9aa145","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2021_R003P003","S2MSI",NA,NA,"NBR","DELTA","ICNF",2021,3,"moving",3,5,"c88407a5-d0d3-4622-a9fa-1697e50d92e6","BHAWIKP6IEXT2ANXFAMKKDVZ","GEE COMPLETED","62ffe67b-bfbc-410a-a4ed-510d1ecb0804","POST COMPLETED","81b557fa-f185-4494-8b69-45efabec9256","METADATA COMPLETED","1096b332-6f5d-4383-826e-0d59b44b7342","CLOSING COMPLETED"
3,"2e32624d-da6b-4a2c-9776-aa6044d94a40","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2020_R003P006","S2MSI",NA,NA,"NBR","DELTA","ICNF",2020,3,"moving",6,5,"ae6d52a2-7902-4c22-8ff4-8329df296c98","E5MNLDYJEAMLZ4WZGC5WJOKB","GEE COMPLETED","44707580-eb9b-47ba-90c4-3cdb12615a71","POST COMPLETED","6fd21c1a-3c9b-463c-970d-63967f78e8b7","METADATA COMPLETED","cb29b5eb-bc69-4816-a849-63f9219b780e","CLOSING COMPLETED"
4,"cfccbbd6-aa1e-4567-9ffd-69d3be41c3a0","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2021_R003P006","S2MSI",NA,NA,"NBR","DELTA","ICNF",2021,3,"moving",6,5,"6ba3f02a-9c30-44e3-82fe-73718606ea45","MEBCYFJK6NDCCML2PLGBWSVT","GEE COMPLETED","e64aae93-4eae-4dbe-9d4f-487f6bdb1c9a","POST COMPLETED","eff06efe-497a-45ee-b761-3ca763face13","METADATA COMPLETED","5fc0a1ca-d6ef-47ca-b3ae-1e8d4e5cef0d","CLOSING COMPLETED"
5,"31c4ca8d-aa9d-4b67-b9e1-60d9b9ab5682","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2020_R003P009","S2MSI",NA,NA,"NBR","DELTA","ICNF",2020,3,"moving",9,5,"c4018c9e-59fe-4b42-ad1d-608df8003a6d","ITHYQSOIJYTHAUCMXGGKKMM7","GEE COMPLETED","2d9b99b0-b005-4866-826c-5c1160089394","POST COMPLETED","c9202f29-0c99-4318-9bed-b0a16fa40320","METADATA COMPLETED","de89115e-d6f8-49ae-a712-3ee1b44f0985","CLOSING COMPLETED"
6,"6e4abb89-902e-45be-9f64-f7f7d205e125","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2021_R003P009","S2MSI",NA,NA,"NBR","DELTA","ICNF",2021,3,"moving",9,5,"57cdafe5-b8c4-44ac-90fd-fbaa767757e0","ADOD2SJAS23WOFK2DQLINJPH","GEE COMPLETED","669e2e01-1037-4a78-83f4-907ab75969f1","POST COMPLETED","729cdc63-62b8-4dde-a4d3-e66d5bd981a3","METADATA COMPLETED","4d4b942e-f376-4b90-983d-c02be6a42705","CLOSING COMPLETED"
7,"c0c51ae8-0355-457b-b4ca-4c0f21c20b45","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2020_R003P012","S2MSI",NA,NA,"NBR","DELTA","ICNF",2020,3,"moving",12,5,"3a89e5b9-4457-44f5-b5fc-8ec414004a3c","R7CAGWOARPYISZCYYDMB5UZ4","GEE COMPLETED","627ef7aa-1466-4994-9762-4113a439bde6","POST COMPLETED","f835c37c-e432-4222-879d-0ef0035ddffd","METADATA COMPLETED","3e858bc0-d0f3-4be8-8bb9-1ae0e41c9047","CLOSING COMPLETED"
8,"2cac9c20-61a1-4f15-821e-bbc912db2e81","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2021_R003P012","S2MSI",NA,NA,"NBR","DELTA","ICNF",2021,3,"moving",12,5,"b4a930c1-7211-448e-b2ae-0e608542faeb","WDR5IYOBCWDUQB2X44VMK6CE","GEE COMPLETED","27b2939a-1b15-4acd-aeee-bb566c1a749a","POST COMPLETED","a412db3c-4cc1-41bd-9cb9-390a738f941b","METADATA COMPLETED","ece05fda-a78e-4334-aebc-77a16b14214c","CLOSING COMPLETED"
10,"82dcbbba-c399-4761-86e4-a0ea7a95afe7","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2018_R003P003","S2MSI",NA,NA,"NBR","DELTA","ICNF",2018,3,"moving",3,5,"39135043-f490-4b90-b8ce-792a3bdde798","MEZDOXFUBNXPWGDCMRFTN3TZ","GEE COMPLETED","acbc6c96-c93d-448b-a0a8-6eee119e5197","POST COMPLETED","25e38e88-333b-4151-a92d-4e0d5d88f316","METADATA COMPLETED","a4d1cb07-7b85-4965-b70d-364cbda8f8fe","CLOSING COMPLETED"
11,"ae470b12-bdd1-4cb4-81f4-956f4d177084","COMPLETED","SPT_S2MSI_NBR_DELTA_ICNF_2019_R003P003","S2MSI",NA,NA,"NBR","DELTA","ICNF",2019,3,"moving",3,5,"8abd986f-597b-41bb-bf77-3c560d006019","T3XWF7YZBPOGCTXF6OISHLWC","GEE COMPLETED","51a82d21-8f4e-4280-8772-7f65fc65beac","POST COMPLETED","f504120a-307e-4fb1-9a54-1a71d009bc14","METADATA COMPLETED","86044b10-d26b-4039-9e91-70ceaae42ded","CLOSING COMPLETED"
